id,self_service,date_time,manager,company,station_category,station_name,latitude,longitude,price
0,1,2022-01-04 06:02:51,manager_0,Agip Eni,on highway,station_0,22.506952184804398,20.26119029521942,1.924
1,0,2022-01-04 06:02:51,manager_0,Agip Eni,on highway,station_0,22.506952184804398,20.26119029521942,2.004
2,1,2022-01-04 06:03:54,manager_1,Esso,on urban street,station_1,22.530916717754373,20.162883186898924,1.779
3,0,2022-01-04 06:03:54,manager_1,Esso,on urban street,station_1,22.530916717754373,20.162883186898924,1.969
4,1,2022-01-04 07:04:13,manager_2,Api-Ip,on urban street,station_2,22.454759349384233,20.132374303779244,1.819
5,0,2022-01-04 07:04:13,manager_2,Api-Ip,on urban street,station_2,22.454759349384233,20.132374303779244,1.819
6,0,2022-01-04 07:15:34,manager_3,Api-Ip,on urban street,station_3,22.477935609703962,20.19595092535019,1.954
7,1,2022-01-04 07:15:34,manager_3,Api-Ip,on urban street,station_3,22.477935609703962,20.19595092535019,1.829
8,1,2022-01-04 07:20:18,manager_4,Api-Ip,on urban street,station_4,22.437444670911873,20.156445432510395,1.799
9,0,2022-01-04 07:20:18,manager_4,Api-Ip,on urban street,station_4,22.437444670911873,20.156445432510395,1.954
10,1,2022-01-04 07:24:37,manager_5,Esso,on urban street,station_5,22.35661496909872,20.233112335205078,1.759
11,0,2022-01-04 07:35:48,manager_6,Q8,on urban street,station_6,22.46991993269708,20.124655993219335,1.954
12,1,2022-01-04 07:35:48,manager_6,Q8,on urban street,station_6,22.46991993269708,20.124655993219335,1.954
13,1,2022-01-04 07:46:16,manager_7,Esso,on urban street,station_7,22.491358483024953,20.22563358862361,1.789
14,0,2022-01-04 07:46:16,manager_7,Esso,on urban street,station_7,22.491358483024953,20.22563358862361,1.979
15,0,2022-01-04 07:50:52,manager_8,Agip Eni,on urban street,station_8,22.483688988483088,20.174453938028705,1.964
16,0,2022-01-04 07:52:24,manager_9,Agip Eni,on urban street,station_9,22.49700334513586,20.183774902313644,2.059
17,1,2022-01-04 07:52:24,manager_9,Agip Eni,on urban street,station_9,22.49700334513586,20.183774902313644,1.839
18,0,2022-01-04 07:53:44,manager_10,Api-Ip,on urban street,station_10,22.447655452878045,20.183397099868724,1.864
19,1,2022-01-04 07:53:44,manager_10,Api-Ip,on urban street,station_10,22.447655452878045,20.183397099868724,1.864
20,0,2022-01-04 07:59:22,manager_11,Esso,on urban street,station_11,22.499552240114603,20.239910761376905,1.999
21,1,2022-01-04 07:59:22,manager_11,Esso,on urban street,station_11,22.499552240114603,20.239910761376905,1.799
22,1,2022-01-04 08:48:06,manager_7,Esso,on urban street,station_12,22.439431471974665,20.224744953372944,1.749
23,0,2022-01-04 08:48:06,manager_7,Esso,on urban street,station_12,22.439431471974665,20.224744953372944,1.949
24,1,2022-01-04 08:53:40,manager_7,Esso,on urban street,station_13,22.42352094039415,20.24936045507171,1.759
25,1,2022-01-04 09:00:41,manager_7,Esso,on urban street,station_14,22.43747179997314,20.191922058283826,1.819
26,0,2022-01-04 09:29:58,manager_12,Retitalia,on urban street,station_15,22.51645438347051,20.225574040866036,1.979
